name,area,suburb,type,has-outlets,has-wifi,has-toilets,link,
May Story Cafe,iw,Lidcombe,cafe,TRUE,TRUE,TRUE,"http://google.com/maps/place/May+Story+Cafe+Lidcombe,+John+Street,+Lidcombe+NSW/@-33.9136139,151.1984489,17z/data=!4m5!3m4!1s0x6b12bbbd53c55059:0x9c32b0889bb253fc!8m2!3d-33.8540163!4d151.0473793?entry=ttu&g_ep=EgoyMDI2MDMyNC4wIKXMDSoASAFQAw%3D%3D",
ickle coffee,s,Kingsgrove,cafe,TRUE,FALSE,,"https://www.google.com/maps/place/ickle+coffee/@-33.9417439,151.0962785,16.88z/data=!4m6!3m5!1s0x6b12bb109585e2f1:0xe8e95fbaf89482df!8m2!3d-33.941713!4d151.101012!16s%2Fg%2F11rn2q4b5x?entry=ttu&g_ep=EgoyMDI2MDMyNC4wIKXMDSoASAFQAw%3D%3D",
Eleven Miles,cbd,Surry Hills,cafe,TRUE,,,"http://google.com/maps/place/Eleven+Miles,+Crown+Street,+Surry+Hills+NSW/@-33.893949,150.9318264,17z/data=!3m1!5s0x6b12960c6c29ad23:0xa9ae7ae1c887d65c!4m5!3m4!1s0x6b12aff180ea4495:0x18fbe9f041b75616!8m2!3d-33.88109!4d151.2149292?entry=ttu&g_ep=EgoyMDI2MDMyNC4wIKXMDSoASAFQAw%3D%3D",
Redroof Cafe,iw,Strathfield,cafe,TRUE,FALSE,TRUE,"https://www.google.com/maps/place/RedRoof+Cafe/@-33.8846123,151.0795559,17z/data=!3m1!4b1!4m6!3m5!1s0x6b12bbaf282e4f63:0x2f51a1d14106f290!8m2!3d-33.8846124!4d151.0844268!16s%2Fg%2F11k9p006q6?entry=ttu&g_ep=EgoyMDI2MDMyNC4wIKXMDSoASAFQAw%3D%3D",
Silk Cafe & Restaurant,cbd,Sydney,cafe,,,,"http://google.com/maps/place/Silk+Cafe+%26+Restaurant,+Liverpool+Street,+Sydney+NSW/@-33.8846123,151.0795559,17z/data=!4m5!3m4!1s0x6b12ae3ce087fbbb:0xec82dee0ef314bf6!8m2!3d-33.8771069!4d151.2071587?entry=ttu&g_ep=EgoyMDI2MDMyNC4wIKXMDSoASAFQAw%3D%3D",
Malika Bakehouse,cbd,Surry Hills,cafe,TRUE,FALSE,,"http://google.com/maps/place/Malika+Bakehouse+Surry+Hills,+Crown+Street,+Surry+Hills+NSW/@-33.9115952,151.100424,17z/data=!4m5!3m4!1s0x6b12af0e03b67aa1:0xddf29d3485ef351!8m2!3d-33.8891978!4d151.2130016?entry=ttu&g_ep=EgoyMDI2MDMyNC4wIKXMDSoASAFQAw%3D%3D",
The Brothers project cafe,cbd,Rosebery,cafe,TRUE,FALSE,,"https://www.google.com/maps/place/The+Brothers+project+cafe/@-33.9156957,151.1245265,13z/data=!4m10!1m2!2m1!1sthe+brothers!3m6!1s0x6b12b1005c0d287b:0x6157cc10a965151f!8m2!3d-33.9156957!4d151.2007442!15sCgx0aGUgYnJvdGhlcnNaDiIMdGhlIGJyb3RoZXJzkgEKcmVzdGF1cmFudOABAA!16s%2Fg%2F11vrz60kff?entry=ttu&g_ep=EgoyMDI2MDMyNC4wIKXMDSoASAFQAw%3D%3D",
Rang On Portman,cbd,Zetland,cafe,TRUE,,,"https://www.google.com/maps/place/Rang+on+Portman/@-33.9049612,151.1999822,17z/data=!3m1!4b1!4m6!3m5!1s0x6b12b1dc919e2959:0xd4af44162fb0e7c4!8m2!3d-33.9049613!4d151.2048531!16s%2Fg%2F11y9h_bv15?entry=ttu&g_ep=EgoyMDI2MDMyNC4wIKXMDSoASAFQAw%3D%3D",
Sorry Thanks I Love You,cbd,Sydney,cafe,,TRUE,,"http://google.com/maps/place/Sorry+Thanks+I+Love+You,+Sydney+NSW/@-33.9049612,151.1999822,17z/data=!4m5!3m4!1s0x6b12adb97c39191f:0xb9a43f076b70dbfe!8m2!3d-33.8701191!4d151.2089511?entry=ttu&g_ep=EgoyMDI2MDMyNC4wIKXMDSoASAFQAw%3D%3D",
Dulcet Cafe (in Kinokuniya),cbd,Sydney,cafe,,TRUE,,"https://www.google.com/maps/place/Dulcet+Cafe/@-33.872368,151.2045468,17z/data=!3m2!4b1!5s0x6b12ae3e66a3abd7:0x6af5fe6b59b001a5!4m6!3m5!1s0x6b12af229f106af9:0x810319df0b4c7205!8m2!3d-33.872368!4d151.2071217!16s%2Fg%2F11n24ctjc5?entry=ttu&g_ep=EgoyMDI2MDMyNC4wIKXMDSoASAFQAw%3D%3D",
Gram Cafe & Pancakes,ns,Chatswood,cafe,,TRUE,,"https://www.google.com/maps/place/Gram+Cafe+%26+Pancakes+Chatswood/@-33.7973101,151.1783439,17z/data=!4m6!3m5!1s0x6b12a96c9eccc1bf:0xc3389ae6b940babf!8m2!3d-33.7971836!4d151.1813693!16s%2Fg%2F11h7v1cx0f?entry=ttu&g_ep=EgoyMDI2MDMyNC4wIKXMDSoASAFQAw%3D%3D",
Dirty Red Glebe,cbd,Glebe,cafe,TRUE,FALSE,,"http://google.com/maps/place/Dirty+Red+Glebe/@-33.8810899,151.2100583,17z/data=!4m6!3m5!1s0x6b12afadff55da8d:0xd2afcc5e58f73d05!8m2!3d-33.8834113!4d151.191739!16s%2Fg%2F11ffltpk7k?entry=ttu&g_ep=EgoyMDI2MDMyNC4wIKXMDSoASAFQAw%3D%3D",
Cafe 506,cbd,Alexandria,cafe,,TRUE,,"https://www.google.com/maps/place/Cafe+506/@-33.9136139,151.1984489,17z/data=!3m2!4b1!5s0x6b12b1ba313fa04b:0x791e03e3713a6d5e!4m6!3m5!1s0x6b12b1ba3188ab69:0x90cff67100fd9bb9!8m2!3d-33.9136139!4d151.2010238!16s%2Fg%2F1td65gmb?entry=ttu&g_ep=EgoyMDI2MDMyNC4wIKXMDSoASAFQAw%3D%3D",
Blue Brew Cafe,iw,Redfern,cafe,,TRUE,,"https://www.google.com/maps/place/Blue+Brew+Cafe/@-33.8929285,151.20109,17z/data=!3m1!4b1!4m6!3m5!1s0x6b12b1bd73e451e9:0x19cd96f78722392c!8m2!3d-33.8929285!4d151.2036649!16s%2Fg%2F11h8kb_z66?entry=ttu&g_ep=EgoyMDI2MDMyNC4wIKXMDSoASAFQAw%3D%3D",
Chubby Cubby,,Haymarket,cafe,,TRUE,,"https://www.google.com/maps/place/Chubby+Cubby+Cafe/@-33.8817797,151.1998188,17z/data=!3m2!4b1!5s0x6b12ae23f49db485:0x23aabf548ae1b98b!4m6!3m5!1s0x6b12af5787697f0f:0x214d1e6a2b2db14c!8m2!3d-33.8817798!4d151.2046897!16s%2Fg%2F11wc8j3rdn?entry=ttu&g_ep=EgoyMDI2MDMyNC4wIKXMDSoASAFQAw%3D%3D",
Sappho Bookstore,cbd,Glebe,cafe,TRUE,FALSE,TRUE,"https://www.google.com/maps/place/Sappho+Books,+Cafe+%26+Bar/@-33.8831714,151.1888732,17z/data=!3m2!4b1!5s0x6b12ae2a3f271f6d:0x6a49b81d8b641d9!4m6!3m5!1s0x6b12ae2a3f08db39:0x195e88dbde1ad80d!8m2!3d-33.8831714!4d151.1914481!16s%2Fg%2F1tdlbwgg?entry=ttu&g_ep=EgoyMDI2MDMyNC4wIKXMDSoASAFQAw%3D%3D",
Smelly Cheesecake,iw,Strathfield,cafe,,FALSE,,"http://google.com/maps/place/The+Smelly+Cheesecake+Strathfield,+Albert+Road,+Strathfield+NSW/@-33.8846715,151.1956977,17z/data=!3m1!5s0x6b12ae27b1c52591:0x881f184442dab44b!4m5!3m4!1s0x6b12bb2787338b45:0x19ac97c9829054a5!8m2!3d-33.8721454!4d151.0935746?entry=ttu&g_ep=EgoyMDI2MDMyNC4wIKXMDSoASAFQAw%3D%3D",
Dymocks Cafe,cbd,Sydney,cafe,FALSE,TRUE,TRUE,"https://www.google.com/maps/place/Dymocks+Cafe/@-33.8699588,151.2025121,17z/data=!3m2!4b1!5s0x6b12af3aa386f727:0xa418b913cf80df29!4m6!3m5!1s0x6b12ae3f090cc7df:0xa9ff58b1bfe0143a!8m2!3d-33.8699589!4d151.207383!16s%2Fg%2F1tkkv07m?entry=ttu&g_ep=EgoyMDI2MDMyNC4wIKXMDSoASAFQAw%3D%3D",
XS Espresso Gregory Hills,w,Gledswood Hills,cafe,TRUE,TRUE,TRUE,"https://www.google.com/maps/place/XS+Espresso+Gregory+Hills/@-33.9020628,150.7599145,9.59z/data=!4m6!3m5!1s0x6b12f1e34af11e31:0xa02912e166b5035f!8m2!3d-34.0215569!4d150.7652883!16s%2Fg%2F11hz19l_86?entry=ttu&g_ep=EgoyMDI2MDMyNC4wIKXMDSoASAFQAw%3D%3D",
Vivace Cafe,n,Epping,cafe,TRUE,TRUE,,"https://www.google.com/maps/place/Vivace+Cafe/@-33.7716433,151.0803179,17z/data=!3m1!4b1!4m6!3m5!1s0x6b12a7e8edc8b103:0x2be6d273982319ea!8m2!3d-33.7716433!4d151.0828928!16s%2Fg%2F11lfd2c307?entry=ttu&g_ep=EgoyMDI2MDMyNC4wIKXMDSoASAFQAw%3D%3D",
cafe ACRO+ (in Central Park Mall),cbd,Chippendale,cafe,FALSE,TRUE,,"https://www.google.com/maps/place/cafe+ACRO%2B/@-33.8846715,151.1956977,17z/data=!3m2!4b1!5s0x6b12ae27b1c52591:0x881f184442dab44b!4m6!3m5!1s0x6b12afb3917068d7:0xf0699c2327910bf7!8m2!3d-33.8846716!4d151.2005686!16s%2Fg%2F11krccs07t?entry=ttu&g_ep=EgoyMDI2MDMyNC4wIKXMDSoASAFQAw%3D%3D",
(Only Coffee) The Old Tab Cafe,iw,Campsie,cafe,,TRUE,,"https://www.google.com/maps/place/(Only+Coffee)+The+Old+Tab+Cafe/@-33.9113676,151.1005876,17z/data=!3m1!4b1!4m6!3m5!1s0x6b12ba50501836df:0x78c0a5a73c27df10!8m2!3d-33.9113676!4d151.1031625!16s%2Fg%2F1ptx8x3wb?entry=ttu&g_ep=EgoyMDI2MDMyNC4wIKXMDSoASAFQAw%3D%3D",
Incafe,cbd,Haymarket,cafe,,TRUE,,"https://www.google.com/maps/place/Incafe/@-33.8816666,151.2029531,17z/data=!3m2!4b1!5s0x6b12ae2393e5b545:0xdae37bb2ec72d337!4m6!3m5!1s0x6b12ae239472ecaf:0x653ed0a033ba738!8m2!3d-33.8816666!4d151.205528!16s%2Fg%2F11cs6fbx8p?entry=ttu&g_ep=EgoyMDI2MDMyNC4wIKXMDSoASAFQAw%3D%3D",time limit on wifi
Common Coffee,n,Epping,cafe,,TRUE,,"https://www.google.com/maps/place/Common+Coffee/@-33.7721613,151.0801692,17z/data=!3m1!4b1!4m6!3m5!1s0x6b12a73eb1a0991f:0x7f7a16c4bf29459b!8m2!3d-33.7721613!4d151.0827441!16s%2Fg%2F11mncr33vw?entry=ttu&g_ep=EgoyMDI2MDMyNC4wIKXMDSoASAFQAw%3D%3D",
Susu Lane,cbd,Chippendale,cafe,TRUE,FALSE,,"https://www.google.com/maps/place/Susu+Lane/@-33.8857266,151.1985806,17z/data=!4m6!3m5!1s0x6b12afe45d0dc365:0x99cc9f1c7749de21!8m2!3d-33.8857266!4d151.2011555!16s%2Fg%2F11yk5v6njl?entry=ttu&g_ep=EgoyMDI2MDMyOS4wIKXMDSoASAFQAw%3D%3D",
